Time,x,y
16/07/17 1:00,9.38,18.31
16/07/17 2:00,9,16.81
16/07/17 3:00,9,18.84
16/07/17 4:00,9,16.85
16/07/17 5:00,5.75,20.38
16/07/17 6:00,5.85,18.6
16/07/17 7:00,7.31,23.14
16/07/17 8:00,7.24,20.78
16/07/17 9:00,8.28,15.62
16/07/17 10:00,14.65,13.16
16/07/17 11:00,15.87,14.1
16/07/17 12:00,15.71,15.33
16/07/17 13:00,16.02,24.19
16/07/17 14:00,8.37,22.42
16/07/17 15:00,9.14,24.63
16/07/17 16:00,11.12,22.43
16/07/17 17:00,11.94,26.44
16/07/17 18:00,7.38,26.27
16/07/17 19:00,6.85,20.38
16/07/17 20:00,5.34,16.42
16/07/17 21:00,5.71,21.9
16/07/17 22:00,7.51,20.3
16/07/17 23:00,8.72,19.95
17/07/17 0:00,7.41,20.08
17/07/17 1:00,8.61,16.99
17/07/17 2:00,8.24,16.13
17/07/17 3:00,6.45,18.83
17/07/17 4:00,6.64,17.32
17/07/17 5:00,7.15,18.23
17/07/17 6:00,7.07,16.49
17/07/17 7:00,8.17,15.34
17/07/17 8:00,8.13,14.01
17/07/17 9:00,7,17.55
17/07/17 10:00,7.68,23.72
17/07/17 11:00,8.71,21.08
17/07/17 12:00,10.31,16.42
17/07/17 13:00,11.34,13.32
17/07/17 14:00,11.82,12.87
17/07/17 15:00,9.04,18.65
17/07/17 16:00,6.24,18.74
17/07/17 17:00,4.07,15.91
17/07/17 18:00,4.39,20.3
17/07/17 19:00,8.55,18.34
17/07/17 20:00,6.11,17.73
17/07/17 21:00,4.75,15.4
17/07/17 22:00,5.04,12.72
17/07/17 23:00,8.62,11.85
18/07/17 0:00,7.32,11.5
18/07/17 1:00,4.68,13.55
18/07/17 2:00,4.18,13.69
18/07/17 3:00,3.54,12.88
18/07/17 4:00,4.32,11.84
18/07/17 5:00,6.52,11.81
18/07/17 6:00,7.23,12.05
18/07/17 7:00,8.27,11.62
18/07/17 8:00,14.86,15.66
18/07/17 9:00,9.96,15.32
18/07/17 10:00,6.14,17.69
18/07/17 11:00,5.31,24.3
18/07/17 12:00,5.57,21.32
18/07/17 13:00,6.2,20.53
18/07/17 14:00,3.91,32.42
18/07/17 15:00,3.92,30.31
18/07/17 16:00,4.04,21.76
18/07/17 17:00,4.79,17.31
18/07/17 18:00,7.33,14.23
18/07/17 19:00,7.9,13.94
18/07/17 20:00,5.14,18.05
18/07/17 21:00,6.39,19.49
18/07/17 22:00,6.94,17.58
18/07/17 23:00,6.47,14.72
19/07/17 0:00,5.78,14.77
19/07/17 1:00,5.72,13.75
19/07/17 2:00,4.41,12.3
19/07/17 3:00,5.38,12.94
19/07/17 4:00,7.86,18.24
19/07/17 5:00,8.07,20.66
19/07/17 6:00,20.05,20.78
19/07/17 7:00,17.39,21.89
19/07/17 8:00,20.36,22.88
19/07/17 9:00,27.46,26.86
19/07/17 10:00,31.17,23.03
19/07/17 11:00,9.3,23.89
19/07/17 12:00,10.12,20.1
19/07/17 13:00,11,17.51
19/07/17 14:00,14.78,16.02
19/07/17 15:00,10.56,13.69
19/07/17 16:00,18.22,17.14
19/07/17 17:00,22.54,26.79
19/07/17 18:00,9.58,24.87
19/07/17 19:00,6.07,19.42
19/07/17 20:00,4.68,18.97
19/07/17 21:00,4.33,22.07
19/07/17 22:00,5.17,20.44
19/07/17 23:00,7.18,17.49
20/07/17 0:00,7.75,18.74
20/07/17 1:00,9.23,21.89
20/07/17 2:00,7.72,18.72
20/07/17 3:00,9,16.69
20/07/17 4:00,9.94,14.95
20/07/17 5:00,10,13.52
20/07/17 6:00,13.42,16.26
20/07/17 7:00,10.57,19.47
20/07/17 8:00,13.78,16.85
20/07/17 9:00,9.72,13.45
20/07/17 10:00,10.42,12.49
